Date,Vaping,No Pot,Quit Valorant,Wake Up Early,Walk,No Energy Drink,Coding,Shower,University,Gym,
2025-09-04,0.9963,0.9999,1.0000,0.9994,0.9999,0.9998,0.9982,0.9998,0.9999,0.9989,
2025-09-03,0.9961,0.9999,1.0000,0.9994,0.9999,0.9998,0.9981,0.9998,0.9999,0.9989,
2025-09-02,0.9959,0.9999,1.0000,0.9994,0.9999,0.9998,0.9980,0.9998,0.9998,0.9988,
2025-09-01,0.9957,0.9999,1.0000,0.9994,0.9999,0.9998,0.9979,0.9997,0.9998,0.9987,
2025-08-31,0.9955,0.9999,1.0000,0.9994,0.9999,0.9998,0.9978,0.9997,0.9998,0.9987,
2025-08-30,0.9952,0.9999,1.0000,0.9993,0.9999,0.9997,0.9977,0.9997,0.9998,0.9986,
2025-08-29,0.9950,0.9999,1.0000,0.9993,0.9999,0.9997,0.9977,0.9997,0.9998,0.9985,
2025-08-28,0.9947,0.9999,1.0000,0.9992,0.9999,0.9997,0.9976,0.9997,0.9998,0.9984,
2025-08-27,0.9944,0.9999,1.0000,0.9992,0.9999,0.9997,0.9975,0.9997,0.9998,0.9983,
2025-08-26,0.9941,0.9999,1.0000,0.9992,0.9999,0.9997,0.9973,0.9997,0.9998,0.9983,
2025-08-25,0.9938,0.9999,1.0000,0.9991,0.9999,0.9997,0.9973,0.9996,0.9998,0.9982,
2025-08-24,0.9934,0.9999,1.0000,0.9991,0.9999,0.9996,0.9972,0.9996,0.9998,0.9982,
2025-08-23,0.9931,0.9999,1.0000,0.9990,0.9999,0.9996,0.9972,0.9996,0.9997,0.9981,
2025-08-22,0.9927,0.9999,1.0000,0.9990,0.9999,0.9996,0.9970,0.9996,0.9997,0.9980,
2025-08-21,0.9923,0.9999,1.0000,0.9989,0.9999,0.9996,0.9968,0.9996,0.9997,0.9979,
2025-08-20,0.9919,0.9999,1.0000,0.9988,0.9999,0.9996,0.9967,0.9996,0.9997,0.9978,
2025-08-19,0.9914,0.9999,1.0000,0.9988,0.9999,0.9996,0.9967,0.9995,0.9997,0.9977,
